CLT_ID,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
881,"$10,552.18","$21,515.43","$17,224.24","$38,739.67"
882,$250.70,$483.79,$284.90,$768.69
890,"$5,718.22","$11,260.95","$8,894.44","$20,155.39"
893,"$1,315.57","$3,323.82","$3,097.88","$6,421.70"
894,$344.43,$606.03,$392.40,$998.43
895,"$3,831.41","$8,692.10","$8,056.73","$16,748.83"
896,"$1,732.76","$3,871.50","$3,853.98","$7,725.48"
897,$59.50,$225.96,$277.56,$503.52
901,"$2,502.18","$4,314.30","$2,788.54","$7,102.84"
902,"$1,562.83","$3,293.72","$2,805.66","$6,099.38"
903,$471.58,"$1,180.40","$1,063.23","$2,243.63"
904,$0.00,$170.35,$681.43,$851.78
913,"$1,084.90","$2,497.65","$2,151.72","$4,649.37"
915,"$4,263.86","$7,062.20","$4,486.84","$11,549.04"
917,"$1,104.73","$1,814.20","$1,231.75","$3,045.95"
919,"$2,140.24","$4,773.33","$4,475.11","$9,248.44"
921,$635.22,"$1,744.50","$1,693.90","$3,438.40"
922,"$19,539.97","$34,623.49","$23,441.21","$58,064.70"
923,$41.59,$317.32,$643.36,$960.68
924,"$3,931.10","$6,639.83","$4,032.51","$10,672.34"
929,$0.00,$1.07,$3.23,$4.30
934,$0.00,$0.12,$0.29,$0.41
939,"$6,780.86","$13,487.82","$10,174.80","$23,662.62"
947,$919.18,"$2,909.26","$2,533.21","$5,442.47"
949,$734.01,"$2,187.19","$2,373.50","$4,560.69"
950,$0.00,$2.21,$3.31,$5.52
953,$0.00,$78.68,$118.02,$196.70
955,$0.00,$50.49,$112.37,$162.86
956,$276.21,$683.69,$615.14,"$1,298.83"
957,"$1,175.69","$1,932.57","$1,161.47","$3,094.04"
958,"$1,849.30","$3,511.91","$2,676.18","$6,188.09"
959,$0.00,$0.00,$0.00,$0.00
960,$683.50,"$1,507.88","$1,236.59","$2,744.47"
962,$65.00,$87.00,$33.00,$120.00
963,$0.00,$150.16,$225.23,$375.39
964,$735.72,"$2,048.70","$2,072.64","$4,121.34"
965,"$13,197.43","$22,146.97","$26,076.70","$48,223.67"
966,$0.00,$1.94,$4.33,$6.27
967,$0.00,$41.60,$62.40,$104.00
971,$552.51,"$1,827.63","$1,617.28","$3,444.91"
973,$984.91,"$1,593.82",$913.35,"$2,507.17"
974,"$7,329.29","$15,566.53","$12,523.05","$28,089.58"
977,"$1,298.79","$2,588.68","$2,002.27","$4,590.95"
978,"$1,769.06","$4,016.80","$3,427.34","$7,444.14"
979,$621.16,"$1,844.24","$1,834.60","$3,678.84"
980,$643.00,"$1,530.56","$1,331.34","$2,861.90"
981,$75.88,$85.53,$14.47,$100.00
982,$196.20,"$2,375.55","$4,808.12","$7,183.67"
984,"$10,372.91","$22,300.21","$20,054.57","$42,354.78"
985,"$1,060.01","$2,148.87","$1,821.35","$3,970.22"
987,$195.00,$319.00,$186.00,$505.00
989,$0.00,$90.13,$250.64,$340.77
,,"$713,942.00","$616,247.46","$1,330,189.46"
